prompt_index,prompt,word_count,content_word_count,comma_count,llm_object_count,llm_attribute_count,llm_relation_count,llm_spatial_relation_count,llm_action_count,llm_style_constraint_count,llm_text_rendering_flag,llm_scene_density_score,llm_rare_concept_score,llm_estimated_difficulty,llm_difficulty_label,llm_reason,llm_model,source,cache_hit,prompt_tokens,completion_tokens,total_tokens
11,"A robot chef cooks pasta in a modern kitchen, steam rising from the pan, stainless tools hanging nearby, warm cinematic lighting, and a curious child watching from the doorway quietly.",30,21,4,6,5,4,2,2,2,0,0.7,0.3,0.6,medium,"Multiple objects with attributes, actions, spatial relations, and cinematic lighting, but common concepts.",deepseek-v4-flash,deepseek_api,False,463,134,597
12,"A cozy bedroom glows with warm sunset light through a large window, with folded blankets, potted plants, framed photos, and a small desk ready for reading beside tea and pencils.",30,21,4,8,5,3,2,0,2,0,0.7,0.1,0.5,medium,"multiple objects with attributes and spatial relations, moderate scene density",deepseek-v4-flash,deepseek_api,False,465,128,593
13,"A futuristic train station has glass walls, hovering signs, morning sunlight, travelers waiting on silver benches, and a sleek maglev train arriving beside platform seven with soft blue interior lights.",30,24,4,6,7,3,2,2,3,1,0.7,0.4,0.6,medium,"multiple objects with attributes, spatial relations, actions, and style constraints; includes hovering signs and maglev train",deepseek-v4-flash,deepseek_api,False,465,138,603
14,"A young astronaut plants a flag on a colorful alien planet, while crystal rocks, purple grass, two moons, and a tiny rover fill the background under pale green evening clouds.",30,21,4,7,6,3,2,1,1,0,0.7,0.6,0.7,high,"multiple objects with specific attributes, spatial relations, and rare sci-fi concepts",deepseek-v4-flash,deepseek_api,False,463,131,594
15,"A vintage camera rests on a wooden desk surrounded by travel postcards, brass coins, a notebook, warm lamplight, and an open map of Europe beside a half packed canvas bag.",30,21,4,8,6,4,2,0,2,0,0.8,0.2,0.6,medium,"multiple objects with specific attributes and spatial relations, moderate complexity",deepseek-v4-flash,deepseek_api,False,466,128,594
16,"A small cafe corner holds leafy plants, stacked books, a blue armchair, soft afternoon light, and a steaming cup of coffee beside a handwritten menu on the narrow wooden table.",30,22,4,7,6,3,2,0,1,1,0.7,0.1,0.6,medium,"multiple objects with attributes, spatial relations, and a text element",deepseek-v4-flash,deepseek_api,False,464,129,593
17,"A watercolor painting shows a mountain village beside a river, with stone bridges, red roofs, distant mist, pine trees, and tiny people walking home under a pale evening sky together.",30,23,5,7,6,4,2,1,2,0,0.7,0.2,0.6,medium,"Multiple objects with spatial relations, style constraint, and moderate scene density.",deepseek-v4-flash,deepseek_api,False,465,130,595
18,"A fantasy library rises around a spiral staircase, with floating candles, glowing books, brass ladders, velvet chairs, and a cat sleeping beneath the desk near a blue magical globe quietly.",30,22,5,7,6,4,3,1,2,0,0.8,0.6,0.7,high,"multiple fantasy objects with specific attributes, spatial relations, and a quiet action",deepseek-v4-flash,deepseek_api,False,465,131,596
19,"A rainy city street reflects shop windows and traffic lights, while pedestrians carry umbrellas past bicycles, food stalls, neon signs, and puddles glowing orange under a dark cinematic evening sky.",30,23,4,8,7,5,3,2,3,1,0.8,0.3,0.7,high,"Complex scene with many objects, attributes, relations, and cinematic style constraints.",deepseek-v4-flash,deepseek_api,False,468,131,599
20,"A wooden cabin sits in a snowy forest, smoke rising from the chimney, warm windows glowing, pine branches bending, and footprints crossing the yard toward a small frozen pond nearby.",30,21,4,6,5,5,3,2,0,0,0.7,0.1,0.5,medium,"multiple objects with spatial relations and actions, moderate complexity",deepseek-v4-flash,deepseek_api,False,463,127,590
21,"A small robot holds a red umbrella beside a striped cat in front of a rainy bookstore, while the window sign says SANA, puddles reflect yellow lamps, two bicycles lean nearby, and a delivery drone hovers above the narrow street as shoppers wait under awnings during a gentle evening storm.",50,36,4,9,10,8,5,4,4,1,0.85,0.3,0.7,high,"Many objects, attributes, relations, actions, and text rendering in a complex rainy street scene.",deepseek-v4-flash,deepseek_api,False,489,135,624
22,"A cyberpunk street market glows at midnight with crowded food stalls, neon kanji signs, rain reflections, masked shoppers, steam vents, hovering taxis, and a musician playing beside a noodle cart, while a child points at a holographic dragon above the wet plaza near a flickering red vending machine tonight outside.",50,37,7,10,8,5,3,3,4,1,0.9,0.7,0.85,high,"Complex scene with many objects, attributes, relations, and rare concepts like cyberpunk and holographic dragon.",deepseek-v4-flash,deepseek_api,False,494,137,631
23,"A medieval wizard teaches three students inside a crowded library, with glowing books floating above an oak table, candles dripping wax, a raven watching from a shelf, maps pinned to stone walls, and a silver telescope aimed at moonlight through the tall arched window behind a stack of scrolls tonight.",50,34,5,12,8,8,5,3,2,0,0.85,0.4,0.7,high,"Many objects, attributes, and spatial relations in a complex scene with rare concepts like glowing books and medieval wizard.",deepseek-v4-flash,deepseek_api,False,486,138,624
24,"A busy spaceport spreads beneath an orange sky, where two astronauts repair a rover beside a cargo ship, engineers carry tools, fuel pipes cross the landing pad, warning lights blink, and tourists photograph distant planets from behind glass while security robots guide them toward a silver observation balcony above calmly.",50,39,5,10,5,8,4,6,1,0,0.9,0.7,0.8,high,"Complex scene with many objects, actions, spatial relations, and rare sci-fi concepts.",deepseek-v4-flash,deepseek_api,False,485,133,618
25,"A family picnic fills a sunny park, where a child flies a kite, a dog sleeps beneath the table, balloons drift near a fountain, grandparents pour lemonade, sandwiches sit in baskets, and clouds cast soft shadows across the grass while birds circle above a blanket covered with fresh strawberries nearby.",50,35,6,10,6,8,5,5,2,0,0.8,0.1,0.7,high,"Many objects, actions, and spatial relations in a complex scene with multiple interactions and lighting constraints.",deepseek-v4-flash,deepseek_api,False,486,135,621
26,"A steampunk workshop contains brass gears, glass tubes, a robot bird, a chalkboard that says PCAS, copper lamps, scattered blueprints, and an inventor tightening a valve while sparks fly from a half built clockwork engine beside shelves packed with lenses springs tools and polished wooden boxes under smoky golden light.",50,38,6,12,10,6,3,2,3,1,0.9,0.7,0.85,high,"Many objects, attributes, relations, actions, and a rare steampunk style with text rendering and dense scene.",deepseek-v4-flash,deepseek_api,False,491,139,630
27,"A seaside festival begins at dusk with lanterns, musicians, children dancing, fireworks over the water, fishing boats tied to the pier, vendors selling fruit, and a painter capturing the scene while waves shimmer under purple clouds near a wooden stage covered with flowers ribbons drums and glowing paper stars tonight.",50,34,6,12,8,6,3,5,2,0,0.9,0.3,0.8,high,"Many objects, attributes, actions, and spatial relations in a complex scene with specific lighting and cultural elements.",deepseek-v4-flash,deepseek_api,False,487,137,624
28,"A detective office is cluttered with case files, where a woman studies a city map, a man holds a flashlight, clues cover the wall, rain streaks the window, and a clock points toward midnight as coffee steams beside photographs marked with red thread across a dusty wooden desk quietly tonight.",50,34,5,10,8,8,4,4,3,0,0.9,0.3,0.8,high,"Many objects, attributes, and relations with a complex scene and specific lighting conditions.",deepseek-v4-flash,deepseek_api,False,486,132,618
29,"A fantasy battle unfolds in heavy rain as a dragon flies above a castle, knights defend a bridge, archers light flaming arrows, horses rear near broken shields, and lightning reveals a wizard casting blue magic while villagers watch from stone windows beside banners torn by wind over the river below.",50,36,4,10,8,9,5,6,3,0,0.9,0.6,0.85,high,"Complex fantasy scene with many entities, actions, spatial relations, and specific attributes like blue magic and heavy rain.",deepseek-v4-flash,deepseek_api,False,484,138,622
30,"A futuristic classroom shows robots and children building a small rocket, posters spelling SANA on the wall, tablets glowing on desks, a teacher adjusting holographic equations, and tiny drones carrying tools between colorful experiment stations while sunlight enters through wide windows above plants wires gears notebooks and safety helmets neatly.",50,39,4,12,8,7,4,4,3,1,0.85,0.6,0.75,high,"Many objects, actions, spatial relations, and a text rendering request increase complexity.",deepseek-v4-flash,deepseek_api,False,486,132,618
